Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
156,Karl Etta Eyong,cm CMR,FW,Cádiz,19,2003,0.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
157,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,21,2001,0.8,0,4,1,25.0,5.29,1.32,0.0,0.0,0,0,la_liga,2023-2024
158,Abde Ezzalzouli,ma MAR,MF,Real Betis,21,2001,9.6,1,34,9,26.5,3.54,0.94,0.03,0.11,0,1,la_liga,2023-2024
159,Radamel Falcao,co COL,FW,Rayo Vallecano,37,1986,4.5,1,17,7,41.2,3.76,1.55,0.0,0.0,1,1,la_liga,2023-2024
160,Fali,es ESP,DF,Cádiz,29,1993,28.3,0,11,3,27.3,0.39,0.11,0.0,0.0,0,0,la_liga,2023-2024
161,Ansu Fati,es ESP,"FW,MF",Barcelona,20,2002,0.6,0,7,1,14.3,12.6,1.8,0.0,0.0,0,0,la_liga,2023-2024
162,Nabil Fekir,fr FRA,"MF,FW",Real Betis,30,1993,11.7,1,27,9,33.3,2.32,0.77,0.04,0.11,0,0,la_liga,2023-2024
163,Luiz Felipe,it ITA,DF,Real Betis,26,1997,4.0,0,2,0,0.0,0.5,0.0,0.0,,0,0,la_liga,2023-2024
164,João Félix,pt POR,FW,Barcelona,23,1999,17.1,7,61,25,41.0,3.56,1.46,0.11,0.28,0,0,la_liga,2023-2024
165,Kiko Femenía,es ESP,DF,Villarreal,32,1991,17.6,0,1,0,0.0,0.06,0.0,0.0,,0,0,la_liga,2023-2024
166,Aitor Fernández,es ESP,GK,Osasuna,32,1991,6.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
167,Álex Fernández,es ESP,MF,Cádiz,30,1992,14.3,0,7,1,14.3,0.49,0.07,0.0,0.0,0,0,la_liga,2023-2024
168,Carlos Fernández,es ESP,FW,Real Sociedad,27,1996,4.5,2,9,4,44.4,1.99,0.88,0.11,0.25,1,1,la_liga,2023-2024
169,Raúl Fernández,es ESP,GK,Granada,35,1988,3.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
170,Valery Fernández,es ESP,MF,Girona,23,1999,5.6,2,5,2,40.0,0.89,0.36,0.4,1.0,0,0,la_liga,2023-2024
171,Fernando,es ESP,GK,Almería,33,1990,4.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
172,Fernando,br BRA,MF,Sevilla,36,1987,5.1,0,1,0,0.0,0.2,0.0,0.0,,0,0,la_liga,2023-2024
173,André Ferreira,pt POR,GK,Granada,27,1996,14.9,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
174,Rachad Fettal,ma MAR,FW,Almería,18,2005,0.2,0,1,0,0.0,5.29,0.0,0.0,,0,0,la_liga,2023-2024
175,Pablo Fornals,es ESP,MF,Real Betis,27,1996,12.8,3,17,6,35.3,1.33,0.47,0.18,0.5,0,0,la_liga,2023-2024
176,Héctor Fort,es ESP,DF,Barcelona,16,2006,3.5,0,1,0,0.0,0.28,0.0,0.0,,0,0,la_liga,2023-2024
177,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,30,1993,20.5,0,7,1,14.3,0.34,0.05,0.0,0.0,0,0,la_liga,2023-2024
178,Juan Foyth,ar ARG,DF,Villarreal,25,1998,11.8,1,6,2,33.3,0.51,0.17,0.17,0.5,0,0,la_liga,2023-2024
179,Jorge de Frutos,es ESP,MF,Rayo Vallecano,26,1997,17.2,2,29,11,37.9,1.68,0.64,0.07,0.18,0,0,la_liga,2023-2024
180,Daniel Fuzato,br BRA,GK,Getafe,26,1997,0.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
181,Matteo Gabbia,it ITA,DF,Villarreal,23,1999,5.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
