Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
76,Rasmus Carstensen,dk DEN,"DF,MF",Köln,22,2000,18.4,0,10,4,40.0,0.54,0.22,0.0,0.0,0,0,bundesliga,2023-2024
77,Fabio Carvalho,pt POR,MF,RB Leipzig,20,2002,1.8,0,3,2,66.7,1.64,1.09,0.0,0.0,0,0,bundesliga,2023-2024
78,Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
79,Václav Černý,cz CZE,"MF,FW",Wolfsburg,25,1997,10.2,4,20,5,25.0,1.95,0.49,0.2,0.8,0,0,bundesliga,2023-2024
80,Julian Chabot,de GER,DF,Köln,25,1998,30.0,0,19,4,21.1,0.63,0.13,0.0,0.0,0,0,bundesliga,2023-2024
81,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,18,2005,0.4,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
82,Fares Chaïbi,dz ALG,"MF,FW",Eintracht Frankfurt,20,2002,21.2,2,40,14,35.0,1.88,0.66,0.05,0.14,0,0,bundesliga,2023-2024
83,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,33,1990,0.2,0,2,1,50.0,10.0,5.0,0.0,0.0,0,0,bundesliga,2023-2024
84,Fabio Chiarodia,it ITA,DF,Gladbach,18,2005,1.7,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
85,Jacob Christensen,dk DEN,MF,Köln,22,2001,2.4,0,1,0,0.0,0.41,0.0,0.0,,0,0,bundesliga,2023-2024
86,Nnamdi Collins,de GER,DF,Eintracht Frankfurt,19,2004,1.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
87,Kingsley Coman,fr FRA,MF,Bayern Munich,27,1996,12.4,3,34,8,23.5,2.75,0.65,0.09,0.38,0,0,bundesliga,2023-2024
88,Bambasé Conté,de GER,MF,Hoffenheim,20,2003,0.5,0,3,0,0.0,5.63,0.0,0.0,,0,0,bundesliga,2023-2024
89,Danny da Costa,de GER,"MF,DF",Mainz 05,30,1993,9.2,0,6,1,16.7,0.65,0.11,0.0,0.0,0,0,bundesliga,2023-2024
90,Nicolas Cozza,fr FRA,DF,Wolfsburg,24,1999,3.1,0,1,0,0.0,0.33,0.0,0.0,,0,0,bundesliga,2023-2024
91,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,22,2000,10.0,4,36,13,36.1,3.62,1.31,0.08,0.23,1,2,bundesliga,2023-2024
92,Finn Dahmen,de GER,GK,Augsburg,25,1998,31.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
93,Mahmoud Dahoud,de GER,MF,Stuttgart,27,1996,2.5,1,3,1,33.3,1.19,0.4,0.33,1.0,0,0,bundesliga,2023-2024
94,Lukas Daschner,de GER,"FW,MF",Bochum,24,1998,6.0,1,13,6,46.2,2.18,1.01,0.08,0.17,0,0,bundesliga,2023-2024
95,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20,2002,7.6,1,26,13,50.0,3.43,1.72,0.04,0.08,0,0,bundesliga,2023-2024
96,Alphonso Davies,ca CAN,DF,Bayern Munich,22,2000,22.9,2,13,4,30.8,0.57,0.17,0.15,0.5,0,0,bundesliga,2023-2024
97,Olivier Deman,be BEL,MF,Werder Bremen,23,2000,15.2,2,17,7,41.2,1.12,0.46,0.12,0.29,0,0,bundesliga,2023-2024
98,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,25,1998,31.9,15,82,36,43.9,2.57,1.13,0.15,0.33,3,4,bundesliga,2023-2024
99,Sepp van den Berg,nl NED,DF,Mainz 05,21,2001,31.5,3,25,11,44.0,0.79,0.35,0.12,0.27,0,0,bundesliga,2023-2024
100,Samuele Di Benedetto,de GER,MF,Stuttgart,18,2005,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
101,Justin Diehl,de GER,MF,Köln,18,2004,1.9,0,7,2,28.6,3.75,1.07,0.0,0.0,0,0,bundesliga,2023-2024
102,Eric Dier,eng ENG,DF,Bayern Munich,29,1994,13.0,0,9,4,44.4,0.69,0.31,0.0,0.0,0,0,bundesliga,2023-2024
