Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19.0,7,49,16,32.7,2.57,0.84,0.14,0.44,0,0,la_liga,2021-2022
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,2,7,3,42.9,2.68,1.15,0.29,0.67,0,0,la_liga,2021-2022
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,26.7,1,17,5,29.4,0.64,0.19,0.06,0.2,0,0,la_liga,2021-2022
78,Claudio Bravo,cl CHI,GK,Real Betis,38,1983,16.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,0,1,0,0.0,0.26,0.0,0.0,,0,0,la_liga,2021-2022
80,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,8,45,22,48.9,2.33,1.14,0.13,0.27,2,2,la_liga,2021-2022
81,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,2,14,4,28.6,0.39,0.11,0.14,0.5,0,0,la_liga,2021-2022
82,Adrián Butzke,es ESP,FW,Granada,22,1999,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
83,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,0,1,0,0.0,0.22,0.0,0.0,,0,0,la_liga,2021-2022
84,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37.0,2,18,6,33.3,0.49,0.16,0.11,0.33,0,0,la_liga,2021-2022
85,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
86,Cala,es ESP,DF,Cádiz,31,1989,10.5,0,5,0,0.0,0.48,0.0,0.0,,0,0,la_liga,2021-2022
87,Calderón,es ESP,DF,Real Betis,21,2000,0.7,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
88,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,0,1,0,0.0,0.08,0.0,0.0,,0,0,la_liga,2021-2022
89,Víctor Camarasa,es ESP,MF,Real Betis,27,1994,1.2,0,1,0,0.0,0.83,0.0,0.0,,0,0,la_liga,2021-2022
90,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,2,12,5,41.7,0.87,0.36,0.17,0.4,0,0,la_liga,2021-2022
91,José Campaña,es ESP,MF,Levante,28,1993,15.8,2,13,6,46.2,0.82,0.38,0.15,0.33,0,1,la_liga,2021-2022
92,Sergio Canales,es ESP,MF,Real Betis,30,1991,31.0,5,54,25,46.3,1.74,0.81,0.09,0.2,0,0,la_liga,2021-2022
93,Álex Cantero,es ESP,"FW,MF",Levante,21,2000,6.8,0,15,5,33.3,2.21,0.74,0.0,0.0,0,0,la_liga,2021-2022
94,Ander Capa,es ESP,"DF,MF",Athletic Club,29,1992,0.0,0,1,0,0.0,22.5,0.0,0.0,,0,0,la_liga,2021-2022
95,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,1,14,5,35.7,0.55,0.2,0.07,0.2,0,0,la_liga,2021-2022
96,Isaac Carcelen,es ESP,"DF,MF",Cádiz,28,1993,17.2,0,11,4,36.4,0.64,0.23,0.0,0.0,0,0,la_liga,2021-2022
97,Dani Cárdenas,es ESP,GK,Levante,24,1997,24.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
98,Carlo,es ESP,MF,Villarreal,20,2001,0.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
99,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,3,30,10,33.3,0.91,0.3,0.1,0.3,0,0,la_liga,2021-2022
100,Carmona,es ESP,DF,Sevilla,19,2002,0.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
101,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,27,1993,28.7,6,50,12,24.0,1.74,0.42,0.08,0.33,2,2,la_liga,2021-2022
102,Guido Carrillo,ar ARG,FW,Elche,30,1991,13.0,2,23,10,43.5,1.77,0.77,0.09,0.2,0,0,la_liga,2021-2022
103,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,17.2,1,10,2,20.0,0.58,0.12,0.1,0.5,0,0,la_liga,2021-2022
104,William Carvalho,pt POR,MF,Real Betis,29,1992,20.1,2,33,10,30.3,1.65,0.5,0.06,0.2,0,0,la_liga,2021-2022
105,Casemiro,br BRA,MF,Real Madrid,29,1992,28.5,1,41,9,22.0,1.44,0.32,0.02,0.11,0,0,la_liga,2021-2022
106,Kiko Casilla,es ESP,GK,Elche,34,1986,14.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
107,Catena,es ESP,DF,Rayo Vallecano,26,1994,36.0,2,23,6,26.1,0.64,0.17,0.09,0.33,0,0,la_liga,2021-2022
108,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,3.1,0,10,4,40.0,3.26,1.3,0.0,0.0,0,0,la_liga,2021-2022
109,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,20.0,4,22,10,45.5,1.1,0.5,0.18,0.4,0,0,la_liga,2021-2022
110,Chapela,es ESP,MF,Cádiz,22,1999,4.4,0,3,0,0.0,0.68,0.0,0.0,,0,0,la_liga,2021-2022
