Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
81,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,3,0,0,35,12,0,5,22,36,,,0,la_liga,2024-2025
82,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,3,0,0,17,6,1,1,7,15,,,0,la_liga,2024-2025
83,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,1,1,0,2,1,0,,,0,la_liga,2024-2025
84,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,5,0,0,18,19,4,42,28,22,,,0,la_liga,2024-2025
85,Álex Berenguer,es ESP,"MF,FW",Athletic Club,29,1995,26.0,5,0,0,29,30,5,178,10,13,,,0,la_liga,2024-2025
86,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,2,0,0,4,3,0,0,1,6,,,0,la_liga,2024-2025
87,Juan Bernat,es ESP,DF,Villarreal,31,1993,2.4,0,0,0,0,2,1,8,1,7,,,0,la_liga,2024-2025
88,Juan Bernat,es ESP,MF,Getafe,31,1993,7.8,0,0,0,11,6,1,12,2,12,,,0,la_liga,2024-2025
89,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,8,1,1,17,1,0,0,15,6,,,0,la_liga,2024-2025
90,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,11,1,1,67,27,0,27,41,41,,,0,la_liga,2024-2025
91,Daley Blind,nl NED,DF,Girona,34,1990,30.9,2,0,0,19,16,1,42,33,28,,,0,la_liga,2024-2025
92,Adama Boiro,es ESP,DF,Athletic Club,22,2002,12.2,3,0,0,13,8,1,31,11,11,,,0,la_liga,2024-2025
93,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,5,0,0,43,8,0,2,41,44,,,0,la_liga,2024-2025
94,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3.0,0,0,0,3,0,0,0,2,2,,,0,la_liga,2024-2025
95,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18.0,4,0,0,38,13,4,11,17,14,,,0,la_liga,2024-2025
96,Abel Bretones,es ESP,"DF,MF",Osasuna,23,2000,23.0,3,0,0,25,32,3,84,19,37,,,0,la_liga,2024-2025
97,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,2,0,0,12,20,5,16,3,5,,,0,la_liga,2024-2025
98,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,4,0,0,47,35,15,6,1,9,,,0,la_liga,2024-2025
99,Manu Bueno,es ESP,MF,Sevilla,20,2004,1.6,0,0,0,2,3,0,1,0,3,,,0,la_liga,2024-2025
100,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,1,0,0,,,0,la_liga,2024-2025
101,Pau Cabanes,es ESP,FW,Villarreal,19,2005,1.8,0,0,0,4,7,0,6,3,4,,,0,la_liga,2024-2025
102,Pau Cabanes,es ESP,MF,Alavés,19,2005,2.1,1,0,0,5,5,0,12,0,2,,,0,la_liga,2024-2025
103,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,4,1,0,24,8,0,18,29,22,,,0,la_liga,2024-2025
104,Fernando Calero,es ESP,DF,Espanyol,28,1995,7.9,1,0,0,6,8,0,2,15,9,,,0,la_liga,2024-2025
105,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,2,0,0,21,31,1,2,19,26,,,0,la_liga,2024-2025
106,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,2,0,0,11,10,2,6,4,4,,,0,la_liga,2024-2025
107,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,5,0,0,7,20,0,34,20,15,,,0,la_liga,2024-2025
108,Peio Canales,es ESP,MF,Athletic Club,19,2005,2.9,0,0,0,1,2,1,16,1,2,,,0,la_liga,2024-2025
109,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,1,0,0,5,7,2,20,6,6,,,0,la_liga,2024-2025
110,Sergi Canós,es ESP,MF,Valencia,27,1997,4.1,3,0,0,12,6,1,18,7,7,,,0,la_liga,2024-2025
111,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6.0,0,0,0,0,1,0,0,0,0,,,0,la_liga,2024-2025
112,Irvin Cardona,mt MLT,"FW,MF",Espanyol,26,1997,6.7,1,0,0,8,8,5,13,5,6,,,0,la_liga,2024-2025
113,Marc Cardona,es ESP,FW,Las Palmas,29,1995,1.5,2,0,0,2,3,0,1,0,2,,,0,la_liga,2024-2025
114,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,11,0,0,38,28,3,112,41,49,,,0,la_liga,2024-2025
115,Johnny Cardoso,us USA,MF,Real Betis,22,2001,23.8,4,0,0,38,27,0,3,50,31,,,0,la_liga,2024-2025
116,José Carlos González,es ESP,MF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,la_liga,2024-2025
117,Carmona,es ESP,DF,Sevilla,22,2002,32.7,11,0,0,49,44,1,43,68,59,,,0,la_liga,2024-2025
118,Sergio Carreira,es ESP,MF,Celta Vigo,23,2000,18.4,1,0,0,19,7,4,42,17,17,,,0,la_liga,2024-2025
