Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
95,Mahmoud Dahoud,de GER,"MF,DF",Dortmund,25,1996,18.4,7,1,1,23,13,0,29,14,23,,,0,bundesliga,2021-2022
96,Márton Dárdai,hu HUN,DF,Hertha BSC,19,2002,8.4,2,0,0,10,6,0,9,19,5,,,0,bundesliga,2021-2022
97,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,19.8,6,0,0,21,33,3,66,22,18,,,0,bundesliga,2021-2022
98,Alphonso Davies,ca CAN,"DF,MF",Bayern Munich,20,2000,19.3,3,0,0,15,27,3,44,21,16,,,0,bundesliga,2021-2022
99,Saulo Decarli,ch SUI,DF,Bochum,29,1992,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
100,Thomas Delaney,dk DEN,MF,Dortmund,29,1991,0.2,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
101,Kerem Demirbay,de GER,MF,Leverkusen,28,1993,22.8,10,0,0,34,29,3,153,32,31,,,0,bundesliga,2021-2022
102,Ermedin Demirović,ba BIH,FW,Freiburg,23,1998,9.7,4,0,0,27,6,12,6,1,6,,,0,bundesliga,2021-2022
103,Mike van der Hoorn,nl NED,DF,Arminia,28,1992,0.2,0,0,0,0,1,0,0,1,0,,,0,bundesliga,2021-2022
104,Moussa Diaby,fr FRA,MF,Leverkusen,22,1999,30.7,10,1,1,38,25,17,85,8,11,,,0,bundesliga,2021-2022
105,Daniel Didavi,de GER,"MF,FW",Stuttgart,31,1990,3.1,1,0,0,3,7,2,9,1,2,,,0,bundesliga,2021-2022
106,Javairô Dilrosun,nl NED,MF,Hertha BSC,23,1998,1.5,0,0,0,3,2,0,1,0,1,,,0,bundesliga,2021-2022
107,Lee Dongjun,kr KOR,FW,Hertha BSC,24,1997,1.3,0,0,0,3,3,1,2,2,1,,,0,bundesliga,2021-2022
108,Niklas Dorsch,de GER,MF,Augsburg,23,1998,25.8,8,0,0,53,48,0,20,35,51,,,0,bundesliga,2021-2022
109,Ondrej Duda,sk SVK,MF,Köln,26,1994,17.9,5,0,0,41,34,0,28,18,15,,,0,bundesliga,2021-2022
110,Jeremy Dudziak,tn TUN,"MF,FW",Greuther Fürth,25,1995,12.6,1,0,0,11,24,3,35,11,7,,,0,bundesliga,2021-2022
111,Erik Durm,de GER,"DF,MF",Eintracht Frankfurt,29,1992,5.3,1,0,0,2,7,0,13,8,9,,,0,bundesliga,2021-2022
112,Maximilian Eggestein,de GER,MF,Freiburg,24,1996,24.4,2,0,0,32,26,1,13,31,28,,,0,bundesliga,2021-2022
113,Lilian Egloff,de GER,MF,Stuttgart,18,2002,0.3,0,0,0,2,0,0,0,0,1,,,0,bundesliga,2021-2022
114,Kingsley Ehizibue,nl NED,DF,Köln,26,1995,7.6,2,0,0,15,16,0,17,9,19,,,0,bundesliga,2021-2022
115,Julian Eitschberger,de GER,DF,Hertha BSC,17,2004,0.5,0,0,0,0,2,0,0,2,0,,,0,bundesliga,2021-2022
116,Jurgen Ekkelenkamp,nl NED,MF,Hertha BSC,21,2000,8.0,1,0,0,12,5,0,3,5,2,,,0,bundesliga,2021-2022
117,Nico Elvedi,ch SUI,DF,Gladbach,24,1996,27.0,3,1,0,21,21,0,1,37,24,,,0,bundesliga,2021-2022
118,Breel Embolo,ch SUI,"FW,MF",Gladbach,24,1997,24.1,3,0,0,40,72,20,3,7,11,,,0,bundesliga,2021-2022
119,Keita Endo,jp JPN,"FW,MF",Union Berlin,23,1997,0.6,0,0,0,0,2,1,3,0,1,,,0,bundesliga,2021-2022
120,Wataru Endo,jp JPN,MF,Stuttgart,28,1993,32.2,4,0,0,30,61,1,7,30,39,,,0,bundesliga,2021-2022
121,Michael Esser,de GER,GK,Bochum,33,1987,3.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
122,Wahid Faghir,dk DEN,FW,Stuttgart,18,2003,1.4,0,0,0,0,3,2,0,0,0,,,0,bundesliga,2021-2022
123,Ömer Faruk Beyaz,tr TUR,MF,Stuttgart,17,2003,0.8,0,0,0,0,0,0,1,1,3,,,0,bundesliga,2021-2022
124,Adrian Fein,de GER,MF,Greuther Fürth,22,1999,0.4,0,0,0,1,0,0,0,2,0,,,0,bundesliga,2021-2022
125,Ohis Felix Uduokhai,de GER,DF,Augsburg,23,1997,8.7,1,0,0,6,7,0,4,9,6,,,0,bundesliga,2021-2022
126,Edimilson Fernandes,ch SUI,MF,Arminia,25,1996,3.1,0,0,0,3,1,0,14,2,0,,,0,bundesliga,2021-2022
127,Alfreð Finnbogason,is ISL,"FW,MF",Augsburg,32,1989,3.2,0,0,0,3,1,1,1,2,2,,,0,bundesliga,2021-2022
128,Mark Flekken,nl NED,GK,Freiburg,28,1993,32.0,0,0,0,0,1,0,0,2,0,,,0,bundesliga,2021-2022
129,Emil Forsberg,se SWE,MF,RB Leipzig,29,1991,19.0,2,0,0,11,22,4,37,2,14,,,0,bundesliga,2021-2022
130,Philipp Förster,de GER,"MF,FW",Stuttgart,26,1995,10.7,4,0,0,15,9,2,8,5,13,,,0,bundesliga,2021-2022
131,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23,1998,1.6,0,0,0,1,0,0,4,2,3,,,0,bundesliga,2021-2022
132,Raphael Framberger,de GER,"DF,MF",Augsburg,25,1995,9.4,3,0,0,17,8,0,36,10,19,,,0,bundesliga,2021-2022
133,Marvin Friedrich,de GER,DF,Gladbach,25,1995,6.7,1,0,0,4,2,1,0,7,9,,,0,bundesliga,2021-2022
134,Marvin Friedrich,de GER,DF,Union Berlin,25,1995,13.0,4,1,1,12,2,0,5,24,6,,,1,bundesliga,2021-2022
135,Jeremie Frimpong,nl NED,DF,Leverkusen,20,2000,22.8,6,0,0,17,45,1,59,20,16,,,1,bundesliga,2021-2022
136,Christian Früchtl,de GER,GK,Bayern Munich,21,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
137,Chris Führich,de GER,"MF,FW",Stuttgart,23,1998,19.0,3,0,0,9,19,2,61,6,16,,,0,bundesliga,2021-2022
138,Marius Funk,de GER,GK,Greuther Fürth,25,1996,8.0,0,0,0,1,1,0,0,0,0,,,0,bundesliga,2021-2022
139,Stephan Fürstner,de GER,MF,Mainz 05,33,1987,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
140,Mijat Gaćinović,rs SRB,MF,Hoffenheim,26,1995,1.2,1,0,0,4,1,0,0,1,3,,,0,bundesliga,2021-2022
141,Cristian Gamboa,cr CRC,DF,Bochum,31,1989,19.1,6,0,0,21,12,2,32,33,36,,,0,bundesliga,2021-2022
142,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,25,1996,1.7,0,0,0,3,1,6,0,0,0,,,0,bundesliga,2021-2022
143,Linus Gechter,de GER,"DF,MF",Hertha BSC,17,2004,8.0,0,0,0,7,0,0,2,10,7,,,0,bundesliga,2021-2022
144,Dennis Geiger,de GER,MF,Hoffenheim,23,1998,15.3,6,0,0,40,19,0,44,15,24,,,0,bundesliga,2021-2022
145,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,27,1994,17.5,2,0,0,18,24,2,33,24,20,,,0,bundesliga,2021-2022
146,Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,30,1990,5.5,2,0,0,13,6,3,2,0,5,,,0,bundesliga,2021-2022
147,Niko Gießelmann,de GER,MF,Union Berlin,29,1991,23.1,3,0,0,23,32,1,106,19,17,,,0,bundesliga,2021-2022
148,Rafał Gikiewicz,pl POL,GK,Augsburg,33,1987,34.0,0,0,0,0,6,0,0,3,0,,,0,bundesliga,2021-2022
149,Daniel Ginczek,de GER,FW,Wolfsburg,30,1991,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
150,Matthias Ginter,de GER,DF,Gladbach,27,1994,26.2,2,0,0,9,29,2,20,32,22,,,0,bundesliga,2021-2022
151,Jamie Gittens,eng ENG,MF,Dortmund,16,2004,1.5,0,0,0,2,6,0,0,1,1,,,0,bundesliga,2021-2022
152,Serge Gnabry,de GER,MF,Bayern Munich,26,1995,24.3,0,0,0,11,21,15,79,15,34,,,0,bundesliga,2021-2022
153,Leon Goretzka,de GER,MF,Bayern Munich,26,1995,15.5,0,0,0,15,10,1,9,17,16,,,0,bundesliga,2021-2022
154,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,30,1991,28.6,9,0,0,32,8,0,6,48,30,,,0,bundesliga,2021-2022
155,Jens Grahl,de GER,GK,Eintracht Frankfurt,32,1988,1.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
156,Julian Green,us USA,"MF,FW",Greuther Fürth,26,1995,11.7,2,0,0,13,38,0,57,7,5,,,0,bundesliga,2021-2022
157,Michael Gregoritsch,at AUT,"FW,MF",Augsburg,27,1994,15.5,3,0,0,17,13,5,10,6,8,,,0,bundesliga,2021-2022
158,Sebastian Griesbeck,de GER,"DF,MF",Greuther Fürth,30,1990,27.1,7,0,0,33,16,0,1,47,36,,,2,bundesliga,2021-2022
159,Sebastian Griesbeck,de GER,"DF,MF",Union Berlin,30,1990,0.1,0,0,0,0,0,0,0,0,1,,,0,bundesliga,2021-2022
160,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,28,1993,30.8,0,0,0,11,28,1,169,15,15,,,0,bundesliga,2021-2022
161,Lennart Grill,de GER,GK,Leverkusen,22,1999,1.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
162,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,25,1995,16.6,7,0,0,11,24,0,11,28,21,,,0,bundesliga,2021-2022
163,Carlos Gruezo,ec ECU,MF,Augsburg,26,1995,10.8,7,0,0,28,4,0,4,9,11,,,0,bundesliga,2021-2022
164,Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,27,1993,19.9,1,0,0,12,8,1,39,23,21,,,0,bundesliga,2021-2022
165,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,30,1990,10.5,4,0,0,20,6,2,0,26,12,,,0,bundesliga,2021-2022
166,Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,33.0,1,0,0,0,1,0,0,1,0,,,0,bundesliga,2021-2022
167,Manuel Gulde,de GER,DF,Freiburg,30,1991,13.6,2,0,0,17,9,0,3,19,10,,,0,bundesliga,2021-2022
168,Robert Gumny,pl POL,DF,Augsburg,23,1998,25.2,3,0,0,26,27,0,27,28,32,,,0,bundesliga,2021-2022
169,Christian Günter,de GER,"DF,MF",Freiburg,28,1993,34.0,2,0,0,37,13,4,216,16,19,,,0,bundesliga,2021-2022
170,Lasse Günther,de GER,MF,Augsburg,18,2003,1.8,1,0,0,3,1,0,3,2,5,,,0,bundesliga,2021-2022
171,Joško Gvardiol,hr CRO,DF,RB Leipzig,19,2002,26.8,7,0,0,41,34,1,8,54,30,,,1,bundesliga,2021-2022
172,Erling Haaland,no NOR,FW,Dortmund,21,2000,21.2,3,0,0,17,13,14,8,1,0,,,0,bundesliga,2021-2022
173,Janik Haberer,de GER,MF,Freiburg,27,1994,9.1,1,0,0,20,10,1,3,17,8,,,0,bundesliga,2021-2022
174,Alexander Hack,de GER,DF,Mainz 05,27,1993,23.0,6,1,0,28,34,2,7,57,28,,,0,bundesliga,2021-2022
175,Robin Hack,de GER,"MF,FW",Arminia,22,1998,15.2,2,0,0,17,21,4,35,4,10,,,0,bundesliga,2021-2022
176,André Hahn,de GER,"MF,FW",Augsburg,30,1990,23.3,5,0,0,56,18,17,40,15,22,,,0,bundesliga,2021-2022
177,Amadou Haidara,ml MLI,MF,RB Leipzig,23,1998,14.7,2,0,0,19,13,0,6,14,16,,,0,bundesliga,2021-2022
178,Marcel Halstenberg,de GER,"DF,MF",RB Leipzig,29,1991,5.6,0,0,0,4,4,1,6,8,7,,,0,bundesliga,2021-2022
179,Genki Haraguchi,jp JPN,MF,Union Berlin,30,1991,19.5,2,0,0,27,29,1,13,26,20,,,0,bundesliga,2021-2022
180,Luis Hartwig,de GER,FW,Bochum,18,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
181,Makoto Hasebe,jp JPN,DF,Eintracht Frankfurt,37,1984,13.2,1,0,0,13,13,0,2,20,14,,,0,bundesliga,2021-2022
182,Thorgan Hazard,be BEL,"MF,FW",Dortmund,28,1993,14.9,2,0,0,22,19,11,72,7,13,,,0,bundesliga,2021-2022
