Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
98,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,28,1993,25.7,2,0,0,24,21,6,106,12,15,,,0,la_liga,2022-2023
99,Dani Carvajal,es ESP,DF,Real Madrid,30,1992,19.8,8,1,1,22,15,5,49,16,19,,,0,la_liga,2022-2023
100,William Carvalho,pt POR,MF,Real Betis,30,1992,27.1,6,1,0,29,38,2,5,17,23,,,0,la_liga,2022-2023
101,Casemiro,br BRA,MF,Real Madrid,30,1992,0.1,0,0,0,1,0,0,0,0,0,,,0,la_liga,2022-2023
102,Valentín Castellanos,ar ARG,FW,Girona,23,1998,28.9,11,0,0,43,45,30,10,7,6,,,0,la_liga,2022-2023
103,Samu Castillejo,es ESP,"FW,MF",Valencia,27,1995,15.1,7,0,0,32,40,7,86,8,13,,,0,la_liga,2022-2023
104,Catena,es ESP,DF,Rayo Vallecano,27,1994,34.5,14,1,1,32,15,3,1,26,15,,,0,la_liga,2022-2023
105,Edinson Cavani,uy URU,FW,Valencia,35,1987,16.1,6,0,0,18,8,15,3,2,4,,,0,la_liga,2022-2023
106,Dani Ceballos,es ESP,MF,Real Madrid,25,1996,17.4,8,0,0,17,41,1,18,27,31,,,0,la_liga,2022-2023
107,Álex Centelles,es ESP,"DF,MF",Almería,24,1997,12.5,0,1,0,7,5,0,46,10,13,,,0,la_liga,2022-2023
108,Franco Cervi,ar ARG,MF,Celta Vigo,28,1994,21.0,2,1,0,27,42,2,115,37,47,,,0,la_liga,2022-2023
109,Pep Chavarría,es ESP,MF,Rayo Vallecano,24,1998,4.1,1,0,0,11,4,1,13,2,4,,,0,la_liga,2022-2023
110,Pape Cheikh Diop,sn SEN,MF,Elche,24,1997,0.4,1,1,0,3,0,0,0,0,0,,,0,la_liga,2022-2023
111,Andreas Christensen,dk DEN,DF,Barcelona,26,1996,19.6,2,0,0,18,7,0,1,20,15,,,1,la_liga,2022-2023
112,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,23,1999,26.0,1,0,0,19,34,11,28,12,12,,,0,la_liga,2022-2023
113,Chumi,es ESP,DF,Almería,23,1999,16.5,5,0,0,10,3,0,8,15,15,,,0,la_liga,2022-2023
