Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
381,Nicolai Rapp,de GER,DF,Werder Bremen,26,1996,2,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
382,David Raum,de GER,DF,RB Leipzig,25,1998,31,31,2739,30.4,2,8,10,2,0,0,6,0,0.07,0.26,0.33,0.07,0.33,bundesliga,2023-2024
383,Rocco Reitz,de GER,MF,Gladbach,21,2002,34,24,2136,23.7,6,3,9,6,0,0,2,0,0.25,0.13,0.38,0.25,0.38,bundesliga,2023-2024
384,Marco Reus,de GER,MF,Dortmund,34,1989,26,18,1601,17.8,6,8,14,6,0,0,2,0,0.34,0.45,0.79,0.34,0.79,bundesliga,2023-2024
385,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,25,1997,25,24,1985,22.1,2,0,2,1,1,1,4,0,0.09,0.0,0.09,0.05,0.05,bundesliga,2023-2024
386,Gio Reyna,us USA,MF,Dortmund,20,2002,11,1,280,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
387,Marco Richter,de GER,MF,Mainz 05,25,1997,20,7,717,8.0,1,0,1,1,0,0,3,0,0.13,0.0,0.13,0.13,0.13,bundesliga,2023-2024
388,Clemens Riedel,de GER,"DF,MF",Darmstadt 98,20,2003,14,9,755,8.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
389,Manuel Riemann,de GER,GK,Bochum,34,1988,33,33,2970,33.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
390,Sebastian Rode,de GER,MF,Eintracht Frankfurt,32,1990,8,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
391,Rogério,br BRA,"DF,MF",Wolfsburg,25,1998,13,10,906,10.1,1,0,1,1,0,0,0,0,0.1,0.0,0.1,0.1,0.1,bundesliga,2023-2024
