Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
236,Anthony Jung,de GER,"DF,MF",Werder Bremen,31,1991,31,2579.0,83.0,84.3,28.7,30,86.0,24,1,11.0,1,1.32,41.0,36.0,5.0,0.17,2.23,bundesliga,2023-2024
237,Josip Juranović,hr CRO,"MF,DF",Union Berlin,27,1995,21,1294.0,62.0,42.3,14.4,14,83.0,8,7,19.0,3,0.95,18.0,23.0,-5.0,-0.35,0.67,bundesliga,2023-2024
238,David Jurásek,cz CZE,"MF,DF",Hoffenheim,22,2000,13,496.0,38.0,16.2,5.5,4,75.0,2,9,22.0,3,1.31,13.0,8.0,5.0,0.91,1.08,bundesliga,2023-2024
239,Julian Justvan,de GER,"FW,MF",Hoffenheim,25,1998,4,49.0,12.0,1.6,0.5,0,,0,4,12.0,2,0.5,0.0,1.0,-1.0,-1.84,-1.87,bundesliga,2023-2024
240,Julian Justvan,de GER,MF,Darmstadt 98,25,1998,14,1023.0,73.0,33.4,11.4,11,86.0,7,3,26.0,0,0.29,8.0,34.0,-26.0,-2.29,-0.96,bundesliga,2023-2024
241,Ozan Kabak,tr TUR,DF,Hoffenheim,23,2000,28,2282.0,82.0,74.6,25.4,28,82.0,17,0,,1,1.29,46.0,52.0,-6.0,-0.24,-0.93,bundesliga,2023-2024
242,Pavel Kadeřábek,cz CZE,"MF,DF",Hoffenheim,31,1992,29,2412.0,83.0,78.8,26.8,28,85.0,18,1,45.0,0,1.45,55.0,49.0,6.0,0.22,1.06,bundesliga,2023-2024
243,Florian Kainz,at AUT,MF,Köln,30,1992,33,2197.0,67.0,71.8,24.4,29,73.0,7,4,22.0,1,0.82,22.0,41.0,-19.0,-0.78,0.58,bundesliga,2023-2024
244,Sasa Kalajdzic,at AUT,FW,Eintracht Frankfurt,26,1997,5,325.0,65.0,10.6,3.6,5,65.0,1,0,,0,1.6,4.0,2.0,2.0,0.55,0.59,bundesliga,2023-2024
245,Jakub Kamiński,pl POL,MF,Wolfsburg,21,2002,17,473.0,28.0,15.5,5.3,4,69.0,1,13,15.0,12,1.24,4.0,9.0,-5.0,-0.95,-0.6,bundesliga,2023-2024
246,Kevin Kampl,si SVN,MF,RB Leipzig,32,1990,26,1363.0,52.0,44.5,15.1,14,83.0,7,12,17.0,7,1.69,30.0,15.0,15.0,0.99,-0.23,bundesliga,2023-2024
247,Harry Kane,eng ENG,FW,Bayern Munich,30,1993,32,2839.0,89.0,92.8,31.5,32,89.0,27,0,,0,2.16,85.0,39.0,46.0,1.46,0.24,bundesliga,2023-2024
248,Atakan Karazor,tr TUR,MF,Stuttgart,26,1996,33,2623.0,79.0,85.7,29.1,31,84.0,21,2,16.0,0,2.12,64.0,34.0,30.0,1.03,-0.82,bundesliga,2023-2024
249,Emir Karic,ba BIH,"MF,DF",Darmstadt 98,26,1997,27,1783.0,66.0,58.3,19.8,18,87.0,12,9,25.0,2,0.37,15.0,56.0,-41.0,-2.07,-1.01,bundesliga,2023-2024
250,Thomas Kastanaras,gr GRE,FW,Stuttgart,20,2003,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2023-2024
251,Silas Katompa,cd COD,MF,Stuttgart,24,1998,27,900.0,33.0,29.4,10.0,8,70.0,0,19,18.0,1,2.15,30.0,10.0,20.0,2.0,1.21,bundesliga,2023-2024
252,Mikkel Kaufmann,dk DEN,FW,Union Berlin,22,2001,18,486.0,27.0,15.9,5.4,4,66.0,0,14,16.0,6,0.94,5.0,7.0,-2.0,-0.37,0.43,bundesliga,2023-2024
253,Naby Keïta,gn GUI,MF,Werder Bremen,28,1995,5,109.0,22.0,3.6,1.2,1,58.0,0,4,13.0,7,0.6,3.0,3.0,0.0,0.0,0.18,bundesliga,2023-2024
