Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
695,Ramón Terrats,es ESP,"MF,FW",Getafe,23.0,2000.0,15,1219.0,81.0,35.6,13.5,15,81.0,4,0,,0,1.2,15.0,15.0,0.0,0.0,0.2,la_liga,2024-2025
696,Raúl de Tomás,es ESP,FW,Rayo Vallecano,29.0,1994.0,2,22.0,11.0,0.6,0.2,0,,0,2,11.0,18,0.0,0.0,2.0,-2.0,-8.18,-8.13,la_liga,2024-2025
697,Pablo Torre,es ESP,MF,Barcelona,21.0,2003.0,10,310.0,31.0,9.1,3.4,4,56.0,0,6,15.0,26,2.2,9.0,4.0,5.0,1.45,-0.23,la_liga,2024-2025
698,David Torres,es ESP,DF,Valladolid,21.0,2003.0,18,1387.0,77.0,40.6,15.4,15,84.0,13,3,41.0,15,0.61,11.0,37.0,-26.0,-1.69,0.0,la_liga,2024-2025
699,Ferrán Torres,es ESP,"FW,MF",Barcelona,24.0,2000.0,27,1106.0,41.0,32.3,12.3,12,64.0,2,15,22.0,2,2.33,35.0,21.0,14.0,1.14,-0.77,la_liga,2024-2025
700,Lucas Torró,es ESP,MF,Osasuna,30.0,1994.0,35,2957.0,84.0,86.5,32.9,35,84.0,26,0,,1,1.43,41.0,42.0,-1.0,-0.03,0.55,la_liga,2024-2025
701,Hamari Traoré,ml MLI,DF,Real Sociedad,32.0,1992.0,11,700.0,64.0,20.5,7.8,9,71.0,1,2,29.0,6,1.09,8.0,7.0,1.0,0.13,0.53,la_liga,2024-2025
702,Óscar Trejo,ar ARG,MF,Rayo Vallecano,36.0,1988.0,19,496.0,26.0,14.5,5.5,6,61.0,0,13,10.0,19,1.11,6.0,5.0,1.0,0.18,0.34,la_liga,2024-2025
703,Pol Tristán,es ESP,GK,Espanyol,22.0,2002.0,0,,,,,0,,0,0,,5,,,,,,,la_liga,2024-2025
704,Viktor Tsyhankov,ua UKR,"MF,FW",Girona,26.0,1997.0,27,1913.0,71.0,55.9,21.3,23,79.0,10,4,22.0,1,1.0,20.0,34.0,-14.0,-0.66,-0.54,la_liga,2024-2025
705,Beñat Turrientes,es ESP,MF,Real Sociedad,22.0,2002.0,21,942.0,45.0,27.5,10.5,11,65.0,2,10,23.0,13,1.05,8.0,13.0,-5.0,-0.48,-0.26,la_liga,2024-2025
706,Christantus Uche,ng NGA,"FW,MF",Getafe,21.0,2003.0,33,2486.0,75.0,72.7,27.6,30,80.0,10,3,34.0,0,1.27,29.0,23.0,6.0,0.22,1.28,la_liga,2024-2025
707,Naci Ünüvar,nl NED,"FW,MF",Espanyol,21.0,2003.0,2,31.0,16.0,0.9,0.3,0,,0,2,16.0,10,0.0,0.0,0.0,0.0,0.0,0.29,la_liga,2024-2025
708,João Urbáez,do DOM,DF,Leganés,22.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
709,Victor Valdepeñas,es ESP,DF,Real Madrid,17.0,2006.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
710,Pablo Valencia,es ESP,GK,Osasuna,23.0,2001.0,0,,,,,0,,0,0,,15,,,,,,,la_liga,2024-2025
