Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
128,Aleix García,es ESP,MF,Leverkusen,27,1997,16.2,3,0,0,8,9,1,93,14,9,,,0,bundesliga,2024-2025
129,Viggo Gebel,de GER,MF,RB Leipzig,16,2007,0.2,0,0,0,0,1,0,0,0,0,,,0,bundesliga,2024-2025
130,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24,2000,17.3,2,0,0,17,6,1,13,16,24,,,0,bundesliga,2024-2025
131,Dennis Geiger,de GER,MF,Hoffenheim,26,1998,8.2,4,0,0,26,10,0,5,7,14,,,0,bundesliga,2024-2025
132,Valentin Gendrey,fr FRA,"DF,MF",Hoffenheim,24,2000,15.7,1,0,0,12,27,2,51,15,13,,,0,bundesliga,2024-2025
133,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,30,1994,16.9,5,1,0,20,13,2,23,16,14,,,0,bundesliga,2024-2025
134,Max Geschwill,de GER,DF,Holstein Kiel,23,2001,14.2,2,0,0,13,9,1,10,31,22,,,1,bundesliga,2024-2025
135,Dimitris Giannoulis,gr GRE,MF,Augsburg,28,1995,29.4,8,0,0,17,20,1,120,47,33,,,0,bundesliga,2024-2025
136,Armin Gigovic,ba BIH,MF,Holstein Kiel,22,2002,21.1,5,0,0,22,28,2,14,22,14,,,0,bundesliga,2024-2025
137,Benedikt Gimber,de GER,DF,Heidenheim,27,1997,29.7,9,0,0,63,49,1,3,32,47,,,0,bundesliga,2024-2025
138,Matthias Ginter,de GER,DF,Freiburg,30,1994,28.5,5,0,0,13,26,1,12,17,17,,,0,bundesliga,2024-2025
139,Jamie Gittens,eng ENG,MF,Dortmund,19,2004,19.7,4,0,0,25,44,3,49,10,17,,,0,bundesliga,2024-2025
140,Serge Gnabry,de GER,"MF,FW",Bayern Munich,29,1995,13.8,0,0,0,19,6,8,22,6,10,,,0,bundesliga,2024-2025
141,Tidiam Gomis,fr FRA,FW,RB Leipzig,17,2006,1.7,2,0,0,3,2,2,4,1,0,,,0,bundesliga,2024-2025
142,Leon Goretzka,de GER,MF,Bayern Munich,29,1995,14.7,2,0,0,12,11,0,6,17,9,,,0,bundesliga,2024-2025
143,Robin Gosens,de GER,MF,Union Berlin,30,1994,1.0,1,0,0,5,0,0,1,1,0,,,0,bundesliga,2024-2025
