Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
12,Andreas Albers,dk DEN,"FW,MF",St Pauli,34,1990,14,62.0,4.0,2.0,0.7,0,,0,14,4.0,4,0.86,1.0,2.0,-1.0,-1.45,-1.09,bundesliga,2024-2025
13,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,2,91.0,46.0,3.0,1.0,1,90.0,1,1,1.0,22,0.5,2.0,2.0,0.0,0.0,0.39,bundesliga,2024-2025
14,Skelly Alvero,fr FRA,MF,Werder Bremen,22,2002,12,236.0,20.0,7.7,2.6,1,56.0,0,11,16.0,10,1.42,0.0,4.0,-4.0,-1.53,-1.56,bundesliga,2024-2025
15,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,21,2003,8,96.0,12.0,3.1,1.1,1,45.0,0,7,7.0,16,2.75,2.0,1.0,1.0,0.94,0.3,bundesliga,2024-2025
16,Nadiem Amiri,de GER,MF,Mainz 05,27,1996,30,2473.0,82.0,80.8,27.5,30,82.0,18,0,,0,1.63,48.0,36.0,12.0,0.44,0.44,bundesliga,2024-2025
17,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24,2000,31,2467.0,80.0,80.6,27.4,29,83.0,9,2,33.0,0,1.29,47.0,43.0,4.0,0.15,0.45,bundesliga,2024-2025
18,Robert Andrich,de GER,"MF,DF",Leverkusen,29,1994,23,1598.0,69.0,52.2,17.8,19,81.0,9,4,16.0,9,2.17,35.0,20.0,15.0,0.84,-0.02,bundesliga,2024-2025
19,Mathys Angély,fr FRA,DF,Wolfsburg,17,2007,0,,,,,0,,0,0,,4,,,,,,,bundesliga,2024-2025
20,Waldemar Anton,de GER,DF,Dortmund,28,1996,26,1949.0,75.0,63.7,21.7,22,85.0,19,4,22.0,3,1.77,50.0,31.0,19.0,0.88,0.8,bundesliga,2024-2025
21,Maximilian Arnold,de GER,MF,Wolfsburg,30,1994,28,2356.0,84.0,77.0,26.2,27,86.0,24,1,45.0,0,1.21,48.0,38.0,10.0,0.38,1.4,bundesliga,2024-2025
22,Jann-Fiete Arp,de GER,FW,Holstein Kiel,24,2000,23,713.0,31.0,23.3,7.9,3,78.0,1,20,24.0,9,0.52,16.0,17.0,-1.0,-0.13,1.02,bundesliga,2024-2025
23,Arthur,br BRA,"MF,DF",Leverkusen,21,2003,20,752.0,38.0,24.6,8.4,7,76.0,2,13,17.0,11,2.05,21.0,7.0,14.0,1.68,1.09,bundesliga,2024-2025
24,Noah Atubolu,de GER,GK,Freiburg,22,2002,26,2307.0,89.0,75.4,25.6,26,89.0,25,0,,2,1.62,37.0,37.0,0.0,0.0,0.48,bundesliga,2024-2025
25,Ayman Azhil,ma MAR,MF,Dortmund,23,2001,1,24.0,24.0,0.8,0.3,0,,0,1,24.0,7,3.0,0.0,0.0,0.0,0.0,-0.59,bundesliga,2024-2025
26,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,2,17.0,9.0,0.6,0.2,0,,0,2,9.0,11,3.0,0.0,2.0,-2.0,-10.59,-12.63,bundesliga,2024-2025
27,Mio Backhaus,de GER,GK,Werder Bremen,20,2004,0,,,,,0,,0,0,,33,,,,,,,bundesliga,2024-2025
28,Aliou Badara Baldé,gn GUI,FW,Bochum,21,2002,5,91.0,18.0,3.0,1.0,0,,0,5,18.0,1,0.0,0.0,2.0,-2.0,-1.98,-1.01,bundesliga,2024-2025
29,Ridle Baku,de GER,MF,Wolfsburg,26,1998,15,1170.0,78.0,38.2,13.0,14,82.0,8,1,26.0,0,1.4,27.0,23.0,4.0,0.31,0.4,bundesliga,2024-2025
30,Ridle Baku,de GER,MF,RB Leipzig,26,1998,19,1275.0,67.0,41.7,14.2,15,80.0,7,4,19.0,0,1.26,22.0,22.0,0.0,0.0,-0.25,bundesliga,2024-2025
31,Samuel Bamba,de GER,FW,Bochum,20,2004,5,27.0,5.0,0.9,0.3,0,,0,5,5.0,8,0.6,0.0,1.0,-1.0,-3.33,-2.35,bundesliga,2024-2025
32,Noahkai Banks,us USA,DF,Augsburg,17,2006,8,278.0,35.0,9.1,3.1,2,74.0,0,6,22.0,12,2.13,1.0,2.0,-1.0,-0.32,0.16,bundesliga,2024-2025
33,Scott Banks,sct SCO,MF,St Pauli,22,2001,12,116.0,10.0,3.8,1.3,0,,0,12,10.0,10,0.92,1.0,2.0,-1.0,-0.78,-0.41,bundesliga,2024-2025
34,Aymen Barkok,ma MAR,MF,Mainz 05,26,1998,4,73.0,18.0,2.4,0.8,0,,0,4,18.0,10,1.0,2.0,2.0,0.0,0.0,-0.36,bundesliga,2024-2025
35,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,30,1993,10,300.0,30.0,9.8,3.3,3,53.0,0,7,20.0,4,1.0,4.0,4.0,0.0,0.0,-0.72,bundesliga,2024-2025
36,Daniel Batz,de GER,GK,Mainz 05,33,1991,0,,,,,0,,0,0,,7,,,,,,,bundesliga,2024-2025
37,Maximilian Bauer,de GER,DF,Augsburg,24,2000,11,658.0,60.0,21.5,7.3,8,77.0,6,3,15.0,7,1.27,9.0,16.0,-7.0,-0.96,-0.62,bundesliga,2024-2025
38,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28,2520.0,90.0,82.4,28.0,28,90.0,28,0,,0,0.93,35.0,53.0,-18.0,-0.64,0.02,bundesliga,2024-2025
39,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24,1999,31,1610.0,52.0,52.6,17.9,18,76.0,7,13,19.0,1,1.58,21.0,29.0,-8.0,-0.45,-1.25,bundesliga,2024-2025
40,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,30,1994,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,0,0.0,0.0,1.0,-1.0,-10.0,-9.38,bundesliga,2024-2025
41,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,32,1598.0,50.0,52.2,17.8,18,73.0,4,14,20.0,1,0.91,22.0,29.0,-7.0,-0.39,0.84,bundesliga,2024-2025
42,Timo Becker,de GER,"DF,MF",Holstein Kiel,27,1997,30,2445.0,82.0,79.9,27.2,28,84.0,23,2,42.0,1,0.73,41.0,65.0,-24.0,-0.88,0.14,bundesliga,2024-2025
43,Hannes Behrens,de GER,DF,Hoffenheim,19,2005,1,29.0,29.0,0.9,0.3,0,,0,1,29.0,1,0.0,0.0,0.0,0.0,0.0,0.65,bundesliga,2024-2025
44,Kevin Behrens,de GER,FW,Wolfsburg,33,1991,18,170.0,9.0,5.6,1.9,0,,0,18,9.0,14,1.33,6.0,4.0,2.0,1.06,1.06,bundesliga,2024-2025
45,Maximilian Beier,de GER,"MF,FW",Dortmund,21,2002,29,1591.0,55.0,52.0,17.7,17,75.0,6,12,27.0,1,1.55,39.0,24.0,15.0,0.85,0.54,bundesliga,2024-2025
46,Eba Bekir Is,de GER,MF,Eintracht Frankfurt,15,2008,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2024-2025
47,Stefan Bell,de GER,DF,Mainz 05,32,1991,18,1436.0,80.0,46.9,16.0,15,82.0,9,3,67.0,5,1.61,29.0,19.0,10.0,0.63,0.52,bundesliga,2024-2025
