Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
99,Eric Dier,eng ENG,DF,Bayern Munich,30,1994,16.3,2,9,6,66.7,0.55,0.37,0.22,0.33,0,0,bundesliga,2024-2025
100,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,23,2000,3.3,0,8,0,0.0,2.46,0.0,0.0,,0,0,bundesliga,2024-2025
101,Eren Dinkçi,de GER,MF,Freiburg,22,2001,13.3,0,14,3,21.4,1.05,0.23,0.0,0.0,0,0,bundesliga,2024-2025
102,Ritsu Doan,jp JPN,MF,Freiburg,26,1998,31.8,10,61,23,37.7,1.92,0.72,0.16,0.43,0,0,bundesliga,2024-2025
103,Danilho Doekhi,nl NED,DF,Union Berlin,26,1998,34.0,1,32,4,12.5,0.94,0.12,0.03,0.25,0,0,bundesliga,2024-2025
104,Niklas Dorsch,de GER,MF,Augsburg,26,1998,0.4,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
105,Niklas Dorsch,de GER,MF,Heidenheim,26,1998,14.8,2,9,3,33.3,0.61,0.2,0.22,0.67,0,0,bundesliga,2024-2025
106,Patrick Drewes,de GER,GK,Bochum,31,1993,21.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
107,Tim Drexler,de GER,DF,Hoffenheim,19,2005,4.0,0,2,2,100.0,0.5,0.5,0.0,0.0,0,0,bundesliga,2024-2025
108,Marvin Ducksch,de GER,FW,Werder Bremen,30,1994,26.9,8,71,29,40.8,2.64,1.08,0.1,0.24,1,2,bundesliga,2024-2025
109,Julien Duranville,be BEL,MF,Dortmund,18,2006,3.1,0,5,2,40.0,1.59,0.64,0.0,0.0,0,0,bundesliga,2024-2025
110,Adam Dźwigała,pl POL,DF,St Pauli,28,1995,4.1,0,6,0,0.0,1.45,0.0,0.0,,0,0,bundesliga,2024-2025
