Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
61,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,21,2003,26,22,1947,21.6,3,6,9,3,0,0,2,0,0.14,0.28,0.42,0.14,0.42,bundesliga,2024-2025
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,25,1998,12,3,400,4.4,2,2,4,2,0,0,0,0,0.45,0.45,0.9,0.45,0.9,bundesliga,2024-2025
63,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,25,1998,15,3,414,4.6,1,0,1,1,0,0,1,0,0.22,0.0,0.22,0.22,0.22,bundesliga,2024-2025
64,Emi Buendía,ar ARG,MF,Leverkusen,27,1996,11,3,257,2.9,2,0,2,2,0,0,0,0,0.7,0.0,0.7,0.7,0.7,bundesliga,2024-2025
65,Marius Bülter,de GER,"MF,FW",Hoffenheim,31,1993,25,22,1729,19.2,7,2,9,7,0,0,4,0,0.36,0.1,0.47,0.36,0.47,bundesliga,2024-2025
66,Jonathan Burkardt,de GER,FW,Mainz 05,24,2000,29,28,2109,23.4,18,2,20,16,2,2,0,0,0.77,0.09,0.85,0.68,0.77,bundesliga,2024-2025
67,Oliver Burke,sct SCO,FW,Werder Bremen,27,1997,25,9,908,10.1,5,0,5,5,0,0,4,0,0.5,0.0,0.5,0.5,0.5,bundesliga,2024-2025
68,Marnon Busch,de GER,"DF,MF",Heidenheim,29,1994,23,15,1396,15.5,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,bundesliga,2024-2025
69,Anthony Caci,fr FRA,MF,Mainz 05,27,1997,33,33,2684,29.8,1,7,8,1,0,0,6,0,0.03,0.23,0.27,0.03,0.27,bundesliga,2024-2025
70,Cole Campbell,us USA,FW,Dortmund,18,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2024-2025
