Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
167,Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,22,2000,18,3,514,5.7,0,1,1,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,la_liga,2022-2023
168,Abde Ezzalzouli,ma MAR,"FW,MF",Osasuna,20,2001,28,19,1504,16.7,4,2,6,4,0,0,4,2,0.24,0.12,0.36,0.24,0.36,la_liga,2022-2023
169,Radamel Falcao,co COL,FW,Rayo Vallecano,36,1986,27,3,616,6.8,2,0,2,1,1,1,4,0,0.29,0.0,0.29,0.15,0.15,la_liga,2022-2023
170,Fali,es ESP,"DF,MF",Cádiz,28,1993,25,22,1714,19.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
171,Mamadou Fall,sn SEN,DF,Villarreal,19,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
172,Ansu Fati,es ESP,FW,Barcelona,19,2002,36,12,1393,15.5,7,3,10,7,0,0,3,0,0.45,0.19,0.65,0.45,0.65,la_liga,2022-2023
173,Zouhair Feddal,ma MAR,DF,Valladolid,33,1989,8,4,375,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
174,Nabil Fekir,fr FRA,MF,Real Betis,29,1993,15,12,961,10.7,2,2,4,1,1,1,4,1,0.19,0.19,0.37,0.09,0.28,la_liga,2022-2023
175,Felipe,br BRA,DF,Atlético Madrid,33,1989,3,2,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
176,Luiz Felipe,it ITA,DF,Real Betis,25,1997,23,22,1763,19.6,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
177,João Félix,pt POR,"FW,MF",Atlético Madrid,22,1999,14,7,650,7.2,4,3,7,4,0,0,5,0,0.55,0.42,0.97,0.55,0.97,la_liga,2022-2023
178,Kiko Femenía,es ESP,DF,Villarreal,31,1991,20,13,1133,12.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,la_liga,2022-2023
